<<<<<<< HEAD
timestamp,txid,src_ip,dst_ip,src_port,dst_port,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn
2026-08-11T00:00:03Z,618e93b346b7995121c35af996023f1323355fe237862aaff68b15f099c7dd85,28.24.56.211,76.79.110.62,443,8333,bc1qhCYkVRwyHt6Lf32EwsucM1CptNN5ooEvsJrKkH,bc1qAAtdL6G8cqTffsgFraRVVLxeULdg4gp7qEhEHj,1.90484808,1.90484808,GB,AS2856
2026-08-11T00:00:05Z,de1029f509028577d7a632525f069c2aab5de80a4f16c118c2b714962e41cf6b,154.204.185.11,211.22.235.203,18333,8333,bc1qUSworts5bF1RmurX8dbPNkLS4hi6QbwN6vWqrK|bc1qgi7VnH7355doHrV2zYAih13jRJAmNzSd1ZnrYX,bc1qRqwwBNM1EBhPv15YERMH9zSCK7WbHCe4hCjdmr,2.67144716|3.98736380,6.65881096,SG,AS14061
2026-08-11T00:00:27Z,2462bd56c4421e25ac3f808a97a31212b03d1c6f7721253114b87f443598d6f3,25.150.185.90,168.57.12.157,9050,8333,bc1qsSEEMPSJGnKzFRfyX2kdGim5Vnt2RdPQR2YUoV|bc1q87GwTFGWgBzCFJ71GjLUexfwRVEF7w6TnVVApy|bc1q7XURM89C8Qqt43w5J7cbJ9s7pkUE3zjd418Ngo,bc1qrPfd9Z7Suns7Mci5sLbWSeTGgGcBXR5NEumeUs,0.03671408|0.01872821|0.03475429,0.09019658,SG,AS14061
2026-08-11T00:00:44Z,b6e72186a5622d982465724373875ca9d9c25821567a2bac2568a1813bf6763b,45.232.1.47,173.243.84.126,8333,443,bc1qxE1uxrD1AsZNEBzuWCXqRUectiFHM5hQtpn4BM|bc1qpq88yqZK9M9moXiZRD1rf41V6A54uAnwJADKkK,bc1qeSbZxmTb3sQmztbfh67rGjjPBig3dikiSqNsU7,0.36332904|0.21158323,0.57491227,SG,AS14061
2026-08-11T00:01:19Z,384f282f43e1a5715ec05d7330645617f0e8db4f0c8e523edfa8b4c83aa873de,44.81.216.77,183.216.174.234,8333,18333,bc1qdoh4aDQWAGApkqLwUTMxv5hEwTJuKiBHkfGSG8|bc1qzTJ2mXe2MRdRMd7tY7mkENYZtqjNBgLQUDYhws,bc1qy2uUJ3Y3WaEqbkiLVaoJZDt1FHavrPWEUxNjKm|bc1qzTJ2mXe2MRdRMd7tY7mkENYZtqjNBgLQUDYhws,0.16390727|0.18970558,0.21204872|0.14156413,GB,AS2856
2026-08-11T00:01:35Z,8efe486d8aed1ccea8d5e6bcdbe0fc24ae708f10507ff6d1240b19bbbe7dac0d,199.64.65.111,142.63.193.251,8333,8333,bc1qiHqu84BWSXLXpqbFRknRXHAaxU1KtVRkMak37b,bc1qjRFkpBPpRjsWEonuCBoEKZVJdEf5UjS1t7e83f|bc1qiHqu84BWSXLXpqbFRknRXHAaxU1KtVRkMak37b,0.42503461,0.21776803|0.20726658,US,AS13335
2026-08-11T00:01:36Z,7c833d09c625bdf30a4875aa6dd993d6d5a8aa43050b38d15a3f187471710c82,59.161.108.187,169.234.73.74,9050,8333,bc1qQQ2iYaHRwcM2gMqYrkKuHF1DLhg8ykzZud5v8X|bc1qBH6kkMCbqNoXCNRBdBSeFxmFNafskQ7FxZ7cnS,bc1qHNnhD3RfsFMobZvAJgzFNwFyL13wxmshp7Z5nx,0.05190751|0.06159157,0.11349908,BR,AS28573
2026-08-11T00:02:02Z,1958a73cffd4a365284a8a55b43f7b32bbc6f8f7b9af8678b54293790b50be90,215.16.161.139,158.165.250.253,18333,8333,bc1qAPKWBgBnbKCCvnmzjsABG83Md9VHQCEcn3jMPA,bc1qWkTrasajo6NzNe3G4Z8dUoowvgNwLHpZWR7ktN,40.00000000,40.00000000,US,AS13335
2026-08-11T00:02:04Z,c1c173441b32270b7d2be30b97a143cd922bf76a53e7711f7e8136368826d41a,28.194.49.186,220.28.117.71,18333,9050,bc1qxUsViGpqQuDcHj9MrU88vT7kMjqgdngLJpATsm|bc1qhuVtEQHssuK9PCJnmXYYXHKrJdRHseG3LUKt44|bc1q6bJwuNMEVqryMbASa9oigQ4b7JwgeuwjL3CtD9,bc1qmfV17KjhiMQY1wxFfnGHj9Xmv7obSSpeAQM9fv|bc1qxUsViGpqQuDcHj9MrU88vT7kMjqgdngLJpATsm,0.06566162|0.05247862|0.04655921,0.10220263|0.06249682,US,AS13335
2026-08-11T00:02:07Z,00f63af764867336ad5e66b6ec9312647623a50e697d02871492e92cfb10bf69,200.172.52.96,60.119.13.247,18333,18333,bc1qtWfrgaTKe59QeLduYwyjzC9p4HCfaRCBTdg91R|bc1qrJk2GxSumJvyzZbA8PxndVYGaQJnSTAD9FU3RS|bc1qTS5WdeTCDzPRgeyfjuAepfsocGEMqcpXxScZWn,bc1qcW3ZCRfYs8qZtBvwDR371Y8AS7PiwucFzckchC|bc1qtWfrgaTKe59QeLduYwyjzC9p4HCfaRCBTdg91R,0.70445297|1.12924710|1.18787049,2.44161272|0.57995784,SG,AS14061
2026-08-11T00:02:29Z,c31e5199c67546bca42d7adce1edd6ca925f6eda48bd7613596e0278445fefda,61.229.142.214,28.24.56.211,8333,443,bc1qdNq8HvDrJSbAGesrLwZJhz3w2vBXqF11jwZUfS|bc1qSeqPbkAUjJ6scRdRPTh5vE1cXtU7kvkyArDtaM,bc1qycSXACbbFd1LXqGF5HQJRopm6QkXKevDAP68Hm|bc1qjjfQiGza9jzcq2vuKu1zPTyj8AzmdgUN2ctwsA,1.71777693|1.20260880,2.52476458|0.39562115,DE,AS51167
2026-08-11T00:03:05Z,5292c13282b5b7d1c70d6773ce1ecf1b9217e3636fdc3bf6740ce4ab0d26dd6d,160.87.125.36,61.70.252.51,9050,8333,bc1qGhhs7PyYtMZNgDd7rbhMGjSo93QzJuLfDrGeCV|bc1qr4mKjKFsq2WG9LvRjUradgxXjzHfttk4qEhr4H|bc1qNqFkMJKqw3VqanekTWWmZxabteyBinzo9t7q3p,bc1qWPA9HQyeGFHtL6dSdEo5oMsXCYuzmmdu7fiL3o|bc1qG6uHPmRuQ7Zs8BWQf6zuX42GJGzqWJDovAPyRt,0.27408567|0.11391314|0.08115520,0.30298289|0.16617112,GB,AS2856
2026-08-11T00:03:09Z,4e51c72d93e099ee856e0d470114ff5189d1516cdac868e934088c56160b4a9f,100.82.0.156,46.236.194.82,18333,8333,bc1qPBYh4HnERdyvCCqPudo6UH9G189XKSenr18YRE,bc1qzp1vTfUdh4mLPzAaftbU1R5o4RNTWGFVqJQVz3|bc1qPBYh4HnERdyvCCqPudo6UH9G189XKSenr18YRE,2.94204327,1.77701422|1.16502905,HK,AS45102
